"Strategy","Depth","Param","Value1","Value2","Value3","Value4","Value5"
"dfs","6","uldr","16","50883","76886","20","141.791"
"dfs","6","ulrd","-1","208703","315303","20","633.829"
"astr","6","hamm","6","7","14","6","0.0"
"astr","6","manh","6","7","14","6","0.0"
"bfs","6","drlu","6","200","424","6","1.0"
"bfs","6","drul","6","200","424","6","1.004"
"bfs","6","ludr","6","246","517","6","0.998"
"bfs","6","lurd","6","181","375","6","1.0"
"bfs","6","rdlu","6","133","279","6","0.665"
"bfs","6","rdul","6","133","279","6","0.0"
"bfs","6","uldr","6","246","517","6","1.51"
"bfs","6","ulrd","6","181","375","6","1.0"
"dfs","6","drlu","-1","208703","315303","20","628.488"
"dfs","6","drul","18","99370","150180","20","296.179"
"dfs","6","ludr","-1","162917","246056","20","535.911"
"dfs","6","lurd","6","95700","144476","20","298.059"
"dfs","6","rdlu","-1","123896","187287","20","390.837"
"dfs","6","rdul","6","30136","45409","20","85.285"
"dfs","6","uldr","-1","181933","274938","20","558.503"
"dfs","6","ulrd","6","80026","120777","20","230.79"
"astr","6","hamm","6","12","27","6","1.0"
"astr","6","manh","6","8","17","6","0.0"
"bfs","6","drlu","6","201","428","6","1.0"
"bfs","6","drul","6","206","440","6","0.873"
"bfs","6","ludr","6","311","667","6","3.039"
"bfs","6","lurd","6","276","596","6","1.997"
"bfs","6","rdlu","6","166","356","6","1.021"
"bfs","6","rdul","6","171","368","6","1.0"
"bfs","6","uldr","6","316","679","6","2.523"
"bfs","6","ulrd","6","281","608","6","1.507"
"dfs","6","drlu","16","21405","32265","20","61.15"
"dfs","6","drul","-1","120678","182271","20","355.068"
"dfs","6","ludr","-1","197594","298430","20","619.68"
"dfs","6","lurd","6","115842","174941","20","362.784"
"dfs","6","rdlu","6","56932","85907","20","182.71"
"dfs","6","rdul","18","128602","194149","20","414.646"
"dfs","6","uldr","-1","289767","438341","20","875.272"
"dfs","6","ulrd","8","130208","196478","20","414.863"
"astr","6","hamm","6","10","22","6","0.0"
"astr","6","manh","6","8","16","6","0.0"
"bfs","6","drlu","6","183","375","6","0.541"
"bfs","6","drul","6","103","217","6","1.986"
"bfs","6","ludr","6","197","403","6","1.0"
"bfs","6","lurd","6","195","400","6","1.011"
"bfs","6","rdlu","6","181","372","6","0.995"
"bfs","6","rdul","6","101","214","6","1.507"
"bfs","6","uldr","6","117","245","6","0.535"
"bfs","6","ulrd","6","115","242","6","0.0"
"dfs","6","drlu","16","50834","76647","20","142.484"
"dfs","6","drul","18","48791","73589","20","132.714"
"dfs","6","ludr","-1","121613","183623","20","381.995"
"dfs","6","lurd","-1","99471","150359","20","307.452"
"dfs","6","rdlu","-1","180000","272065","20","655.177"
"dfs","6","rdul","16","25240","38030","20","79.968"
"dfs","6","uldr","-1","99471","150359","20","289.524"
"dfs","6","ulrd","-1","121613","183623","20","381.977"
"astr","6","hamm","6","7","15","6","0.0"
"astr","6","manh","6","7","15","6","0.0"
"bfs","6","drlu","6","155","319","6","0.0"
"bfs","6","drul","6","155","319","6","0.0"
"bfs","6","ludr","6","167","346","6","1.0"
"bfs","6","lurd","6","144","300","6","1.006"
"bfs","6","rdlu","6","131","271","6","2.0"
"bfs","6","rdul","6","131","271","6","1.008"
"bfs","6","uldr","6","167","346","6","1.509"
"bfs","6","ulrd","6","144","300","6","0.0"
"dfs","6","drlu","18","99374","149916","20","503.091"
"dfs","6","drul","18","121458","183741","20","372.368"
"dfs","6","ludr","14","45326","68358","20","134.938"
"dfs","6","lurd","-1","180000","272065","20","543.445"
"dfs","6","rdlu","16","85256","128808","20","262.194"
"dfs","6","rdul","-1","121613","183623","20","625.755"
"dfs","6","uldr","6","171421","259048","20","738.735"
"dfs","6","ulrd","6","126464","190956","20","392.02"
"astr","6","hamm","6","7","16","6","0.0"
"astr","6","manh","6","7","16","6","0.0"
"bfs","6","drlu","6","219","460","6","2.011"
"bfs","6","drul","6","219","460","6","1.0"
"bfs","6","ludr","6","153","323","6","1.511"
"bfs","6","lurd","6","161","338","6","1.0"
"bfs","6","rdlu","6","226","473","6","0.877"
"bfs","6","rdul","6","226","473","6","0.999"
"bfs","6","uldr","6","153","323","6","1.0"
"bfs","6","ulrd","6","161","338","6","1.002"
"dfs","6","drlu","18","81878","123530","20","298.462"
"dfs","6","drul","-1","152229","230146","20","451.736"
"dfs","6","ludr","18","115555","174406","20","384.53"
"dfs","6","lurd","16","34210","51563","20","136.819"
"dfs","6","rdlu","-1","123896","187287","20","366.529"
"dfs","6","rdul","-1","79141","119501","20","230.072"
"dfs","6","uldr","-1","181933","274938","20","565.536"
"dfs","6","ulrd","16","32862","49523","20","89.533"
"astr","6","hamm","6","7","15","6","0.0"
"astr","6","manh","6","7","15","6","0.0"
"bfs","6","drlu","6","123","255","6","1.001"
"bfs","6","drul","6","123","255","6","0.0"
"bfs","6","ludr","6","136","284","6","1.0"
"bfs","6","lurd","6","175","362","6","1.011"
"bfs","6","rdlu","6","163","335","6","0.0"
"bfs","6","rdul","6","163","335","6","0.996"
"bfs","6","uldr","6","136","284","6","1.0"
"bfs","6","ulrd","6","175","362","6","1.002"
"dfs","6","drlu","-1","121613","183623","20","389.048"
"dfs","6","drul","-1","99471","150359","20","314.93"
"dfs","6","ludr","-1","152727","230784","20","516.969"
"dfs","6","lurd","-1","180000","272065","20","711.597"
"dfs","6","rdlu","-1","99471","150359","20","406.824"
"dfs","6","rdul","18","104056","157118","20","309.417"
"dfs","6","uldr","-1","180000","272065","20","546.91"
"dfs","6","ulrd","-1","152727","230784","20","695.181"
"astr","6","hamm","6","7","16","6","0.0"
"astr","6","manh","6","7","16","6","0.0"
"bfs","6","drlu","6","219","460","6","0.997"
"bfs","6","drul","6","219","460","6","0.484"
"bfs","6","ludr","6","153","322","6","0.0"
"bfs","6","lurd","6","161","338","6","0.994"
"bfs","6","rdlu","6","227","476","6","1.017"
"bfs","6","rdul","6","227","476","6","2.0"
"bfs","6","uldr","6","153","322","6","1.008"
"bfs","6","ulrd","6","161","338","6","1.002"
"dfs","6","drlu","-1","79141","119501","20","252.611"
"dfs","6","drul","-1","123896","187287","20","371.62"
"dfs","6","ludr","16","32747","49349","20","110.213"
"dfs","6","lurd","-1","181933","274938","20","589.906"
"dfs","6","rdlu","14","21249","32006","20","72.958"
"dfs","6","rdul","18","103704","156601","20","336.398"
"dfs","6","uldr","16","33980","51196","20","99.894"
"dfs","6","ulrd","-1","162917","246056","20","499.603"
"astr","6","hamm","6","7","17","6","0.0"
"astr","6","manh","6","7","17","6","0.0"
"bfs","6","drlu","6","168","354","6","1.508"
"bfs","6","drul","6","168","354","6","0.0"
"bfs","6","ludr","6","190","399","6","1.0"
"bfs","6","lurd","6","212","443","6","1.002"
"bfs","6","rdlu","6","189","397","6","1.002"
"bfs","6","rdul","6","189","397","6","0.998"
"bfs","6","uldr","6","190","399","6","1.0"
"bfs","6","ulrd","6","212","443","6","0.999"
"dfs","6","drlu","-1","208703","315303","20","627.032"
"dfs","6","drul","-1","152229","230146","20","444.931"
"dfs","6","ludr","-1","162917","246056","20","576.974"
"dfs","6","lurd","18","107508","162390","20","435.799"
"dfs","6","rdlu","18","124926","188837","20","394.412"
"dfs","6","rdul","-1","79141","119501","20","251.998"
"dfs","6","uldr","-1","181933","274938","20","533.393"
"dfs","6","ulrd","-1","80027","120782","20","234.525"
"astr","6","hamm","6","7","17","6","0.0"
"astr","6","manh","6","7","17","6","0.994"
"bfs","6","drlu","6","196","409","6","1.026"
"bfs","6","drul","6","237","494","6","1.0"
"bfs","6","ludr","6","147","311","6","0.998"
"bfs","6","lurd","6","142","302","6","0.0"
"bfs","6","rdlu","6","191","400","6","1.001"
"bfs","6","rdul","6","232","485","6","0.823"
"bfs","6","uldr","6","188","396","6","1.003"
"bfs","6","ulrd","6","183","387","6","1.01"
"dfs","6","drlu","-1","162917","246056","20","481.354"
"dfs","6","drul","-1","115391","174329","20","367.939"
"dfs","6","ludr","-1","208703","315303","20","770.285"
"dfs","6","lurd","16","50854","76837","20","159.945"
"dfs","6","rdlu","-1","181933","274938","20","612.24"
"dfs","6","rdul","-1","80027","120782","20","240.887"
"dfs","6","uldr","16","121521","183664","20","352.681"
"dfs","6","ulrd","-1","79141","119501","20","245.799"
"astr","6","hamm","6","10","24","6","0.0"
"astr","6","manh","6","9","21","6","0.0"
"bfs","6","drlu","6","294","629","6","0.997"
"bfs","6","drul","6","255","543","6","2.009"
"bfs","6","ludr","6","232","502","6","2.01"
"bfs","6","lurd","6","227","493","6","2.0"
"bfs","6","rdlu","6","289","620","6","0.998"
"bfs","6","rdul","6","250","534","6","2.534"
"bfs","6","uldr","6","193","417","6","1.0"
"bfs","6","ulrd","6","188","408","6","0.0"
"dfs","6","drlu","14","23617","35619","20","64.872"
"dfs","6","drul","14","46135","69544","20","143.749"
"dfs","6","ludr","18","174124","263185","20","583.363"
"dfs","6","lurd","-1","289767","438341","20","974.696"
"dfs","6","rdlu","-1","120678","182271","20","507.573"
"dfs","6","rdul","-1","165500","249865","20","499.773"
"dfs","6","uldr","-1","289767","438341","20","999.088"
"dfs","6","ulrd","6","90886","137095","20","331.824"
"astr","6","hamm","6","7","14","6","0.0"
"astr","6","manh","6","7","14","6","0.0"
"bfs","6","drlu","6","106","223","6","1.769"
"bfs","6","drul","6","106","223","6","1.0"
"bfs","6","ludr","6","117","245","6","1.096"
"bfs","6","lurd","6","192","394","6","1.009"
"bfs","6","rdlu","6","181","372","6","1.001"
"bfs","6","rdul","6","181","372","6","0.999"
"bfs","6","uldr","6","117","245","6","0.0"
"bfs","6","ulrd","6","192","394","6","2.013"
"dfs","6","drlu","18","85027","128383","20","239.299"
"dfs","6","drul","6","76972","116321","20","240.419"
"dfs","6","ludr","16","22434","33836","20","67.337"
"dfs","6","lurd","-1","180000","272065","20","575.104"
"dfs","6","rdlu","18","120496","182233","20","364.708"
"dfs","6","rdul","6","90347","136356","20","279.98"
"dfs","6","uldr","-1","180000","272065","20","578.879"
"dfs","6","ulrd","16","51090","77030","20","155.115"
"astr","6","hamm","6","7","16","6","0.0"
"astr","6","manh","6","7","16","6","0.0"
"bfs","6","drlu","6","273","591","6","0.998"
"bfs","6","drul","6","306","659","6","1.0"
"bfs","6","ludr","6","187","398","6","0.998"
"bfs","6","lurd","6","177","377","6","2.535"
"bfs","6","rdlu","6","263","570","6","0.999"
"bfs","6","rdul","6","296","638","6","1.508"
"bfs","6","uldr","6","220","467","6","1.002"
"bfs","6","ulrd","6","210","446","6","2.189"
"dfs","6","drlu","-1","197594","298430","20","629.255"
"dfs","6","drul","14","207235","313307","20","989.445"
"dfs","6","ludr","-1","165500","249865","20","531.338"
"dfs","6","lurd","-1","120678","182271","20","372.426"
"dfs","6","rdlu","6","74404","112337","20","231.511"
"dfs","6","rdul","-1","197594","298430","20","618.722"
"dfs","6","uldr","-1","120678","182271","20","376.41"
"dfs","6","ulrd","16","21673","32670","20","62.346"
"astr","6","hamm","6","7","14","6","0.0"
"astr","6","manh","6","7","14","6","0.0"
"bfs","6","drlu","6","172","356","6","1.01"
"bfs","6","drul","6","235","495","6","0.995"
"bfs","6","ludr","6","149","309","6","0.0"
"bfs","6","lurd","6","144","301","6","0.0"
"bfs","6","rdlu","6","167","348","6","0.992"
"bfs","6","rdul","6","231","488","6","2.25"
"bfs","6","uldr","6","213","450","6","2.038"
"bfs","6","ulrd","6","209","443","6","1.0"
"dfs","6","drlu","14","37872","57096","20","115.889"
"dfs","6","drul","6","129744","196007","20","385.891"
"dfs","6","ludr","16","83601","126186","20","313.936"
"dfs","6","lurd","-1","123896","187287","20","401.896"
"dfs","6","rdlu","6","59877","90396","20","187.698"
"dfs","6","rdul","14","99169","149667","20","291.058"
"dfs","6","uldr","-1","152229","230146","20","494.063"
"dfs","6","ulrd","-1","208703","315303","20","622.88"
"astr","6","hamm","6","7","14","6","0.0"
"astr","6","manh","6","7","14","6","0.0"
"bfs","6","drlu","6","135","282","6","0.999"
"bfs","6","drul","6","135","282","6","1.033"
"bfs","6","ludr","6","183","378","6","0.996"
"bfs","6","lurd","6","244","514","6","0.999"
"bfs","6","rdlu","6","198","421","6","1.511"
"bfs","6","rdul","6","198","421","6","0.0"
"bfs","6","uldr","6","183","378","6","1.0"
"bfs","6","ulrd","6","244","514","6","2.079"
"dfs","6","drlu","14","42283","63719","20","133.461"
"dfs","6","drul","-1","123896","187287","20","376.764"
"dfs","6","ludr","-1","80027","120782","20","259.064"
"dfs","6","lurd","-1","181933","274938","20","579.934"
"dfs","6","rdlu","-1","152229","230146","20","483.798"
"dfs","6","rdul","18","99125","149685","20","300.416"
"dfs","6","uldr","-1","115391","174329","20","373.299"
"dfs","6","ulrd","-1","162917","246056","20","527.714"
"astr","6","hamm","6","13","29","6","0.0"
"astr","6","manh","6","9","19","6","0.0"
"bfs","6","drlu","6","173","370","6","1.02"
"bfs","6","drul","6","168","358","6","1.0"
"bfs","6","ludr","6","283","611","6","1.014"
"bfs","6","lurd","6","315","678","6","0.998"
"bfs","6","rdlu","6","204","437","6","1.0"
"bfs","6","rdul","6","199","425","6","1.007"
"bfs","6","uldr","6","278","599","6","1.0"
"bfs","6","ulrd","6","310","666","6","2.014"
"dfs","6","drlu","-1","165500","249865","20","549.7"
"dfs","6","drul","14","65713","99216","20","212.491"
"dfs","6","ludr","-1","197594","298430","20","705.64"
"dfs","6","lurd","6","261537","395469","20","790.41"
"dfs","6","rdlu","-1","120678","182271","20","364.022"
"dfs","6","rdul","16","21228","31998","16","66.014"
"dfs","6","uldr","-1","289767","438341","20","934.045"
"dfs","6","ulrd","-1","197594","298430","20","580.9"
"astr","6","hamm","6","8","16","6","0.0"
"astr","6","manh","6","7","14","6","0.0"
"bfs","6","drlu","6","103","217","6","0.0"
"bfs","6","drul","6","183","375","6","1.526"
"bfs","6","ludr","6","117","245","6","0.0"
"bfs","6","lurd","6","115","242","6","1.001"
"bfs","6","rdlu","6","101","214","6","0.0"
"bfs","6","rdul","6","181","372","6","0.999"
"bfs","6","uldr","6","197","403","6","0.998"
"bfs","6","ulrd","6","195","400","6","1.996"
"dfs","6","drlu","16","26235","39567","20","73.456"
"dfs","6","drul","-1","180000","272065","20","541.63"
"dfs","6","ludr","-1","121613","183623","20","407.687"
"dfs","6","lurd","-1","99471","150359","20","325.176"
"dfs","6","rdlu","-1","180000","272065","20","614.362"
"dfs","6","rdul","16","50784","76573","20","143.977"
"dfs","6","uldr","-1","99471","150359","20","308.244"
"dfs","6","ulrd","-1","121613","183623","20","356.411"
"astr","6","hamm","6","7","16","6","0.0"
"astr","6","manh","6","7","16","6","0.0"
"bfs","6","drlu","6","156","335","6","0.996"
"bfs","6","drul","6","156","335","6","1.06"
"bfs","6","ludr","6","247","528","6","1.001"
"bfs","6","lurd","6","325","700","6","1.517"
"bfs","6","rdlu","6","235","508","6","0.507"
"bfs","6","rdul","6","235","508","6","0.998"
"bfs","6","uldr","6","247","528","6","1.016"
"bfs","6","ulrd","6","325","700","6","1.51"
"dfs","6","drlu","12","9749","14682","12","27.886"
"dfs","6","drul","6","12209","18398","20","39.438"
"dfs","6","ludr","-1","165500","249865","20","534.646"
"dfs","6","lurd","18","109385","165172","20","341.582"
"dfs","6","rdlu","-1","289767","438341","20","905.315"
"dfs","6","rdul","18","185865","280638","20","814.356"
"dfs","6","uldr","-1","120678","182271","20","362.287"
"dfs","6","ulrd","18","114775","173265","20","333.111"
"astr","6","hamm","6","7","15","6","0.0"
"astr","6","manh","6","7","15","6","0.0"
"bfs","6","drlu","6","152","315","6","1.542"
"bfs","6","drul","6","152","315","6","1.003"
